from,to,relation
bsc,bl,3
bsc1,obk,1
bsc2,dubn,1
bsc3,naci,1
bsc5,cib,1
bsc6,wobj,1
bsc7,eber,1
bsc8,fsvj,1
bsc10,feye,1
bsc14,and,1
bsc16,eve,1
bsc17,bscj,1
bsc18,psg,1
bsc19,part,1
bsc20,sgej,1
bsc21,fcn,1
bsc23,fcaj,1
bsc24,bscj,1
bsc27,bscj,1
bsc29,vafc,1
bsc31,bscj,1
bsc34,zag,1
bsc39,bscj,1
bsc40,suco,1
bsc42,bscj,1
bsc1,bsc ,2
bsc2,bsc ,2
bsc3,bsc ,2
bsc5,bsc ,2
bsc6,bsc ,2
bsc7,bsc ,2
bsc8,bsc ,2
bsc10,bsc ,2
bsc14,bsc ,2
bsc16,bsc ,2
bsc17,bsc ,2
bsc18,bsc ,2
bsc19,bsc ,2
bsc20,bsc ,2
bsc21,bsc ,2
bsc23,bsc ,2
bsc24,bsc ,2
bsc27,bsc ,2
bsc29,bsc ,2
bsc31,bsc ,2
bsc34,bsc ,2
bsc39,bsc ,2
bsc40,bsc ,2
bsc42,bsc ,2
