from,to,relation
tsg,bl,3
tsg1,scfj,1
tsg1,tsg,2
tsg3,spra,1
tsg3,tsg,2
tsg4,vfbj,1
tsg4,tsg,2
tsg5,gala,1
tsg5,tsg,2
tsg6,tsgj,1
tsg6,tsg,2
tsg7,bvbj,1
tsg7,tsg,2
tsg8,tsgj,1
tsg8,tsg,2
tsg9,for,1
tsg9,tsg,2
tsg10,macc,1
tsg10,tsg,2
tsg11,manc,1
tsg11,tsg,2
tsg13,fcbj,1
tsg13,tsg,2
tsg14,tsgj,1
tsg14,tsg,2
tsg16,vfbj,1
tsg16,tsg,2
tsg17,kop,1
tsg17,tsg,2
tsg19,aja,1
tsg19,tsg,2
tsg20,stp,1
tsg20,tsg,2
tsg22,bocj,1
tsg22,tsg,2
tsg23,bscj,1
tsg23,tsg,2
tsg25,ksc,1
tsg25,tsg,2
tsg26,spo,1
tsg26,tsg,2
tsg27,zag,1
tsg27,tsg,2
tsg29,silk,1
tsg29,tsg,2
tsg34,psg,1
tsg34,tsg,2
tsg35,sgej,1
tsg35,tsg,2
tsg39,tsgj,1
tsg39,tsg,2
tsg40,tsgj,1
tsg40,tsg,2
tsg44,fcuj,1
tsg44,tsg,2
