ID,Name,Typ,Verein,Jugendverein
bsc1,Oliver Christensen,1,bsc,obk
bsc2,Peter Pekarik,1,bsc,dubn
bsc3,Augustin Rogel,1,bsc,naci
bsc5,Filip Uremovic,1,bsc,cib
bsc6,Tolga Cigerci,1,bsc,wobj
bsc7,Florian Niederlechner,1,bsc,eber
bsc8,Suat Serdar,1,bsc,fsvj
bsc10,Jean Paul Boetius,1,bsc,feye
bsc14,Dodi Lukebakio,1,bsc,and
bsc16,Jonjoe Kenny,1,bsc,eve
bsc17,Maximilian Mittelstaedt,1,bsc,bscj
bsc18,Wilfried Kanga,1,bsc,psg
bsc19,Stefan Jovetic,1,bsc,part
bsc20,Marc Oliver Kempf,1,bsc,sgej
bsc21,Marvin Plattenhardt,1,bsc,fcn
bsc23,Marco Richter,1,bsc,fcaj
bsc24,Jessic Ngankam,1,bsc,bscj
bsc27,Kevin Prince Boateng,1,bsc,bscj
bsc29,Lucas Tousart,1,bsc,vafc
bsc31,Marton Dardai,1,bsc,bscj
bsc34,Ivan Sunjic,1,bsc,zag
bsc39,Derry Scherhant,1,bsc,bscj
bsc40,Chidera Ejuke,1,bsc,suco
bsc42,Julian Eitschberger,1,bsc,bscj
bsc,Hertha BSC Berlin,2,NA,NA
bl,Bundesliga,3,NA,NA
obk,Odense BK,2,NA,NA
dubn,FK Dubnica,2,NA,NA
naci,Nacional,2,NA,NA
cib,Cibalia,2,NA,NA
wobj,VFL Wolfsburg Jugend,2,NA,NA
eber,TSV Ebersberg,2,NA,NA
fsvj,1. FSV Mainz Jugend,2,NA,NA
feye,Feyenoord Rotterdam,2,NA,NA
and,RSC Anderlecht,2,NA,NA
eve,FC Everton,2,NA,NA
bscj,Hertha BSC Berlin Jugend,2,NA,NA
psg,Paris St. Germain,2,NA,NA
part,Partizan Belgrad,2,NA,NA
sgej,Eintracht Frankfurt Jugend,2,NA,NA
fcn,1 FC Nuernberg,2,NA,NA
fcaj,FC Augsburg Jugend,2,NA,NA
vafc,Valenciennes FC,2,NA,NA
zag,Dinamo Zagreb,2,NA,NA
suco,Supreme Court FC,2,NA,NA
