ID,Name,Typ,Verein,Jugendverein
bsc1,Oliver Christensen,1,bsc,obk
bsc2,Peter Pekarik,1,bsc,dubn
bsc3,Augustin Rogel,1,bsc,naci
bsc5,Filip Uremovic,1,bsc,cib
bsc6,Tolga Cigerci,1,bsc,wobj
bsc7,Florian Niederlechner,1,bsc,eber
bsc8,Suat Serdar,1,bsc,fsvj
bsc10,Jean Paul Boetius,1,bsc,feye
bsc14,Dodi Lukebakio,1,bsc,and
bsc16,Jonjoe Kenny,1,bsc,eve
bsc17,Maximilian Mittelstaedt,1,bsc,bscj
bsc18,Wilfried Kanga,1,bsc,psg
bsc19,Stefan Jovetic,1,bsc,part
bsc20,Marc Oliver Kempf,1,bsc,sgej
bsc21,Marvin Plattenhardt,1,bsc,fcn
bsc23,Marco Richter,1,bsc,fcaj
bsc24,Jessic Ngankam,1,bsc,bscj
bsc27,Kevin Prince Boateng,1,bsc,bscj
bsc29,Lucas Tousart,1,bsc,vafc
bsc31,Marton Dardai,1,bsc,bscj
bsc34,Ivan Sunjic,1,bsc,zag
bsc39,Derry Scherhant,1,bsc,bscj
bsc40,Chidera Ejuke,1,bsc,suco
bsc42,Julian Eitschberger,1,bsc,bscj
bsc,Hertha BSC Berlin,2,,
bl,Bundesliga,3,,
obk,Odense BK,2,,
dubn,FK Dubnica,2,,
naci,Nacional,2,,
cib,Cibalia,2,,
wobj,VFL Wolfsburg Jugend,2,,
eber,TSV Ebersberg,2,,
fsvj,1. FSV Mainz Jugend,2,,
feye,Feyenoord Rotterdam,2,,
and,RSC Anderlecht,2,,
eve,FC Everton,2,,
bscj,Hertha BSC Berlin Jugend,2,,
psg,Paris St. Germain,2,,
part,Partizan Belgrad,2,,
sgej,Eintracht Frankfurt Jugend,2,,
fcn,1 FC Nuernberg,2,,
fcaj,FC Augsburg Jugend,2,,
bscj,Hertha BSC Berlin Jugend,2,,
bscj,Hertha BSC Berlin Jugend,2,,
vafc,Valenciennes FC,2,,
bscj,Hertha BSC Berlin Jugend,2,,
zag,Dinamo Zagreb,2,,
bscj,Hertha BSC Berlin Jugend,2,,
suco,Supreme Court FC,2,,
bscj,Hertha BSC Berlin Jugend,2,,
