id,name,type,nation,peak
fcb1,Manuel Neuer,Spieler,NA,J
fcb2,Dayot Upamecano,Spieler,NA,K
fcb4,Mathijs De Ligt,Spieler,NA,L
fcb5,Benjamin Pavard,Spieler,NA,J
fcb6,Joshua Kimmich,Spieler,NA,L
fcb7,Serge Gnabry,Spieler,NA,L
fcb8,Leon Goretzka,Spieler,NA,L
fcb10,Leroy Sane,Spieler,NA,L
fcb11,Kingsley Coman,Spieler,NA,L
fcb13,Eric Maxim Choupo Moting,Spieler,NA,D
fcb14,Paul Wanner,Spieler,NA,B
fcb17,Sadio Mane,Spieler,NA,L
fcb19,Alphonso Davies,Spieler,NA,L
fcb20,Bouna Sarr,Spieler,NA,D
fcb21,Lucas Hernandez,Spieler,NA,L
fcb22,Joao Cancelo,Spieler,NA,L
fcb23,Daley Blind,Spieler,NA,G
fcb25,Thomas Mueller,Spieler,NA,L
fcb26,Sven Ulreich,Spieler,NA,D
fcb27,Yann Sommer,Spieler,NA,E
fcb38,Ryan Gravenberch,Spieler,NA,I
fcb39,Mathys Tel,Spieler,NA,F
fcb40,Noussair Mazraoui,Spieler,NA,H
fcb42,Jamal Musiala,Spieler,NA,L
fcb44,Josip Stanisic,Spieler,NA,D
fcu1,Frederik Roennow,Spieler,NA,B
fcu2,Morten Thorsby,Spieler,NA,C
fcu3,Paul Jaeckel,Spieler,NA,C
fcu4,Diogo Leite,Spieler,NA,D
fcu5,Danilho Doekhi,Spieler,NA,B
fcu7,Levin Oeztunali,Spieler,NA,C
fcu8,Rani Khedira,Spieler,NA,D
fcu11,Sven Michel,Spieler,NA,A
fcu13,Andras Schaefer,Spieler,NA,B
fcu14,Paul Seguin,Spieler,NA,A
fcu16,Tim Maciejewski,Spieler,NA,A
fcu17,Kevin Behrens,Spieler,NA,A
fcu19,Jannik Haberer,Spieler,NA,D
fcu23,Niko Giesselmann,Spieler,NA,B
fcu25,Timo Baumgartl,Spieler,NA,E
fcu26,Jerome Rousillon,Spieler,NA,F
fcu27,Sheraldo Becker,Spieler,NA,E
fcu28,Christopher Trimmel,Spieler,NA,A
fcu30,Kevin Moehwald,Spieler,NA,B
fcu31,Robin Knoche,Spieler,NA,E
fcu32,Milos Pantovic,Spieler,NA,A
fcu37,Lennart Grill,Spieler,NA,A
fcu40,Jamie Leweling,Spieler,NA,B
fcu45,Jordan Siebatcheu,Spieler,NA,D
fcu18,Josip Juranovic,Spieler,NA,D
fcu20,Aissa Laidouni,Spieler,NA,B
rbl1,Peter Gulacsi,Spieler,NA,E
rbl2,Mohamed Simakan,Spieler,NA,H
rbl4,Willi Orban,Spieler,NA,F
rbl7,Dani Olmo,Spieler,NA,J
rbl8,Amadou Haidara,Spieler,NA,G
rbl9,Yussuf Poulsen,Spieler,NA,I
rbl10,Emil Forsberg,Spieler,NA,H
rbl11,Timo Werner,Spieler,NA,L
rbl13,Orjan Nyland,Spieler,NA,B
rbl16,Lukas Klostermann,Spieler,NA,I
rbl17,Dominik Szoboszlai,Spieler,NA,I
rbl18,Christopher Nkunku,Spieler,NA,L
rbl19,Andre Silva,Spieler,NA,J
rbl21,Janis Blaswich,Spieler,NA,A
rbl22,David Raum,Spieler,NA,H
rbl23,Marcel Halstenberg,Spieler,NA,G
rbl24,Xaver Schlager,Spieler,NA,H
rbl25,Sanoussy Ba,Spieler,NA,A
rbl27,Konrad Laimer,Spieler,NA,H
rbl32,Josko Gvardiol,Spieler,NA,L
rbl37,Abdou Diallo,Spieler,NA,I
rbl39,Benjamin Henrichs,Spieler,NA,F
rbl44,Kevin Kampl,Spieler,NA,G
bvb1,Gregor Kobel,Spieler,NA,G
bvb2,Mateu Morey,Spieler,NA,C
bvb4,Nico Schlotterbeck,Spieler,NA,I
bvb6,Salih Oezcan,Spieler,NA,F
bvb7,Giovanni Reyna,Spieler,NA,J
bvb8,Mahmoud Dahoud,Spieler,NA,F
bvb9,Sebastien Haller,Spieler,NA,J
bvb11,Marco Reus,Spieler,NA,J
bvb13,Raphael Guerreiro,Spieler,NA,I
bvb14,Nico Schulz,Spieler,NA,G
bvb15,Mats Hummels,Spieler,NA,K
bvb17,Marius Wolf,Spieler,NA,D
bvb18,Youssoufa Moukoko,Spieler,NA,H
bvb19,Julian Brandt,Spieler,NA,J
bvb20,Anthony Modeste,Spieler,NA,F
bvb21,Donyell Malen,Spieler,NA,H
bvb22,Jude Bellingham,Spieler,NA,L
bvb23,Emre Can,Spieler,NA,I
bvb24,Thomas Meunier,Spieler,NA,I
bvb25,Niklas Suele,Spieler,NA,K
bvb26,Julian Ryerson,Spieler,NA,C
bvb27,Karim Adeyemi,Spieler,NA,I
bvb30,Felix Passlack,Spieler,NA,B
bvb33,Alexander Meyer,Spieler,NA,A
bvb35,Marcel Lotka,Spieler,NA,A
bvb36,Tom Rothe,Spieler,NA,B
bvb43,Jamie Bynoe Gittens,Spieler,NA,D
bvb47,Antonios Papadopoulos,Spieler,NA,A
scf1,Benjamin Uphoff,Spieler,NA,A
scf3,Philipp Lienhart,Spieler,NA,G
scf5,Manuel Gulde,Spieler,NA,B
scf7,Jonathan Schmid,Spieler,NA,C
scf8,Maximilian Eggestein,Spieler,NA,H
scf9,Lucas Hoeler,Spieler,NA,C
scf11,Daniel Kofi Kyereh,Spieler,NA,D
scf14,Yannik Keitel,Spieler,NA,B
scf17,Lukas Kuebler,Spieler,NA,B
scf18,Nils Petersen,Spieler,NA,E
scf22,Roland Sallai,Spieler,NA,F
scf23,Robert Wagner,Spieler,NA,A
scf25,Kiliann Sildillia,Spieler,NA,D
scf26,Mark Flekken,Spieler,NA,C
scf27,Nicolas Hoefler,Spieler,NA,B
scf28,Matthias Ginter,Spieler,NA,I
scf29,Woo Yeong Jeong,Spieler,NA,C
scf30,Christian Guenter,Spieler,NA,E
scf32,Vincenzo Grifo,Spieler,NA,E
scf33,Noah Weisshaupt,Spieler,NA,B
scf38,Michael Gregoritsch,Spieler,NA,F
scf42,Ritsu Doan,Spieler,NA,F
sge1,Kevin Trapp,Spieler,NA,E
sge2,Evan N Dicka,Spieler,NA,I
sge5,Hrvoje Smolcic,Spieler,NA,B
sge6,Kristijan Jakic,Spieler,NA,D
sge8,Djibril Sow,Spieler,NA,G
sge9,Randal Kolo Muani,Spieler,NA,I
sge11,Faride Alidou,Spieler,NA,A
sge15,Daichi Kamada,Spieler,NA,H
sge17,Sebastian Rode,Spieler,NA,D
sge18,Almamy Toure,Spieler,NA,D
sge19,Rafael Borre,Spieler,NA,F
sge20,Makoto Hasebe,Spieler,NA,B
sge21,Lucas Alario,Spieler,NA,F
