id,name,type
fcb1,Manuel Neuer,Spieler
fcb2,Dayot Upamecano,Spieler
fcb4,Mathijs De Ligt,Spieler
fcb5,Benjamin Pavard,Spieler
fcb6,Joshua Kimmich,Spieler
fcb7,Serge Gnabry,Spieler
fcb8,Leon Goretzka,Spieler
fcb10,Leroy Sane,Spieler
fcb11,Kingsley Coman,Spieler
fcb13,Eric Maxim Choupo Moting,Spieler
fcb14,Paul Wanner,Spieler
fcb17,Sadio Mane,Spieler
fcb19,Alphonso Davies,Spieler
fcb20,Bouna Sarr,Spieler
fcb21,Lucas Hernandez,Spieler
fcb22,Joao Cancelo,Spieler
fcb23,Daley Blind,Spieler
fcb25,Thomas Mueller,Spieler
fcb26,Sven Ulreich,Spieler
fcb27,Yann Sommer,Spieler
fcb38,Ryan Gravenberch,Spieler
fcb39,Mathys Tel,Spieler
fcb40,Noussair Mazraoui,Spieler
fcb42,Jamal Musiala,Spieler
fcb44,Josip Stanisic,Spieler
fcu1,Frederik Roennow,Spieler
fcu2,Morten Thorsby,Spieler
fcu3,Paul Jaeckel,Spieler
fcu4,Diogo Leite,Spieler
fcu5,Danilho Doekhi,Spieler
fcu7,Levin Oeztunali,Spieler
fcu8,Rani Khedira,Spieler
fcu11,Sven Michel,Spieler
fcu13,Andras Schaefer,Spieler
fcu14,Paul Seguin,Spieler
fcu16,Tim Maciejewski,Spieler
fcu17,Kevin Behrens,Spieler
fcu19,Jannik Haberer,Spieler
fcu23,Niko Giesselmann,Spieler
fcu25,Timo Baumgartl,Spieler
fcu26,Jerome Rousillon,Spieler
fcu27,Sheraldo Becker,Spieler
fcu28,Christopher Trimmel,Spieler
fcu30,Kevin Moehwald,Spieler
fcu31,Robin Knoche,Spieler
fcu32,Milos Pantovic,Spieler
fcu37,Lennart Grill,Spieler
fcu40,Jamie Leweling,Spieler
fcu45,Jordan Siebatcheu,Spieler
fcu18,Josip Juranovic,Spieler
fcu20,Aissa Laidouni,Spieler
rbl1,Peter Gulacsi,Spieler
rbl2,Mohamed Simakan,Spieler
rbl4,Willi Orban,Spieler
rbl7,Dani Olmo,Spieler
rbl8,Amadou Haidara,Spieler
rbl9,Yussuf Poulsen,Spieler
rbl10,Emil Forsberg,Spieler
rbl11,Timo Werner,Spieler
rbl13,Orjan Nyland,Spieler
rbl16,Lukas Klostermann,Spieler
rbl17,Dominik Szoboszlai,Spieler
rbl18,Christopher Nkunku,Spieler
rbl19,Andre Silva,Spieler
rbl21,Janis Blaswich,Spieler
rbl22,David Raum,Spieler
rbl23,Marcel Halstenberg,Spieler
rbl24,Xaver Schlager,Spieler
rbl25,Sanoussy Ba,Spieler
rbl27,Konrad Laimer,Spieler
rbl32,Josko Gvardiol,Spieler
rbl37,Abdou Diallo,Spieler
rbl39,Benjamin Henrichs,Spieler
rbl44,Kevin Kampl,Spieler
bvb1,Gregor Kobel,Spieler
bvb2,Mateu Morey,Spieler
bvb4,Nico Schlotterbeck,Spieler
bvb6,Salih Oezcan,Spieler
bvb7,Giovanni Reyna,Spieler
bvb8,Mahmoud Dahoud,Spieler
bvb9,Sebastien Haller,Spieler
bvb11,Marco Reus,Spieler
bvb13,Raphael Guerreiro,Spieler
bvb14,Nico Schulz,Spieler
bvb15,Mats Hummels,Spieler
bvb17,Marius Wolf,Spieler
bvb18,Youssoufa Moukoko,Spieler
bvb19,Julian Brandt,Spieler
bvb20,Anthony Modeste,Spieler
bvb21,Donyell Malen,Spieler
bvb22,Jude Bellingham,Spieler
bvb23,Emre Can,Spieler
bvb24,Thomas Meunier,Spieler
bvb25,Niklas Suele,Spieler
bvb26,Julian Ryerson,Spieler
bvb27,Karim Adeyemi,Spieler
bvb30,Felix Passlack,Spieler
bvb33,Alexander Meyer,Spieler
bvb35,Marcel Lotka,Spieler
bvb36,Tom Rothe,Spieler
bvb43,Jamie Bynoe Gittens,Spieler
bvb47,Antonios Papadopoulos,Spieler
scf1,Benjamin Uphoff,Spieler
scf3,Philipp Lienhart,Spieler
scf5,Manuel Gulde,Spieler
scf7,Jonathan Schmid,Spieler
scf8,Maximilian Eggestein,Spieler
scf9,Lucas Hoeler,Spieler
scf11,Daniel Kofi Kyereh,Spieler
scf14,Yannik Keitel,Spieler
scf17,Lukas Kuebler,Spieler
scf18,Nils Petersen,Spieler
scf22,Roland Sallai,Spieler
scf23,Robert Wagner,Spieler
scf25,Kiliann Sildillia,Spieler
scf26,Mark Flekken,Spieler
scf27,Nicolas Hoefler,Spieler
scf28,Matthias Ginter,Spieler
scf29,Woo Yeong Jeong,Spieler
scf30,Christian Guenter,Spieler
scf32,Vincenzo Grifo,Spieler
scf33,Noah Weisshaupt,Spieler
scf38,Michael Gregoritsch,Spieler
scf42,Ritsu Doan,Spieler
sge1,Kevin Trapp,Spieler
sge2,Evan N Dicka,Spieler
